,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK
344,27743,2060150800,2060049400,2060047900,0,0,107,000,-,»óÈñ°ø¿ø±æ,0,000,0,0,0,0,
345,27744,2060155800,2060051500,2060049400,0,0,107,000,-,»óÈñ°ø¿ø±æ,0,000,0,0,0,0,
346,27745,2060154800,2060050700,2060049000,0,0,107,000,-,Å¾°ñ2±æ,0,000,0,0,0,0,
347,27755,2060050600,2060016700,2060016400,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
348,27756,2060051600,2060016700,2060017900,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
349,27757,2060050900,2060016400,2060016700,0,0,107,000,-,¹ßÀÌºÀ7±æ,0,000,0,0,0,0,
350,27758,2060050800,2060016700,2060016400,0,0,107,000,-,¹ßÀÌºÀ7±æ,0,000,0,0,0,0,
351,27759,2060049200,2060016400,2060016000,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
352,27760,2060049600,2060016800,2060016100,0,0,107,000,-,Çª¸¥»ù±æ,0,000,0,0,0,0,
353,27761,2060048000,2060017100,2060015500,0,0,107,000,-,ºÒÁ¤·Î,0,000,0,0,0,0,
354,27762,2060088200,2060029100,2060027800,0,0,107,000,-,¹éÇö·Î,0,000,0,0,0,0,
355,27763,2060015200,2060005800,2060005700,0,0,107,000,-,±¸¹Ì·Î,0,000,0,0,0,0,
356,27764,2060060800,2060021300,2060019600,0,0,107,000,-,¹éÇö·Î,0,000,0,0,0,0,
357,27765,2060085000,2060027800,2060026700,0,0,107,000,-,¹éÇö·Î,0,000,0,0,0,0,
358,27766,2060082800,2060027800,2060026100,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,
359,27767,2060080600,2060026100,2060025100,0,0,107,004,-,¼º³²´ë·Î,0,000,0,0,0,0,
360,27768,2060142900,2060045300,2060048000,0,0,107,000,-,ÅºÃµÁÂ·Î,0,000,0,0,0,0,
361,27769,2060140900,2060044600,2060045300,0,0,107,000,-,ÅºÃµÁÂ·Î,0,000,0,0,0,0,
362,27770,2060140300,2060044600,2060044500,0,0,107,003,-,ÇÏÅ¾·Î,0,000,0,0,0,0,
363,27771,2060169100,2060053400,2060054400,0,0,107,003,-,Àå¹Ì·Î,0,000,0,0,0,0,
364,27772,2060140700,2060044800,2060044600,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,
365,27774,2060133300,2060042500,2060042400,0,0,107,000,-,¹æ¾Æ´Ù¸®±æ,0,000,0,0,0,0,
366,27780,2060160100,2060050600,2060050700,0,0,107,000,-,ÁßÅ¾±æ,0,000,0,0,0,0,
367,27781,2060159700,2060050700,2060050500,0,0,107,000,-,ÁßÅ¾±æ,0,000,0,0,0,0,
368,27785,2060162900,2060051500,2060053200,0,0,107,000,-,»óÈñ°ø¿ø±æ,0,000,0,0,0,0,
369,27786,2060137500,2060043600,2060045600,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
370,27787,2060169500,2060053700,2060053500,0,0,107,000,-,Àå¹Ì·Î,0,000,0,0,0,0,
371,27788,2060153300,2060048600,2060049000,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
372,27792,2060141900,2060045100,2060045000,0,0,107,000,-,ÇÏÅ¾·Î,0,000,0,0,0,0,
373,27793,2060162700,2060051900,2060051500,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,
374,27794,2060166700,2060052800,2060052700,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,
375,27795,2060167100,2060052900,2060052800,0,0,107,000,-,¸ÅÈ­¸¶À»±æ,0,000,0,0,0,0,
376,27796,2060146900,2060046400,2060047600,0,0,107,000,-,»óÅ¾1±æ,0,000,0,0,0,0,
377,27797,2060145500,2060046600,2060046000,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
378,27798,2060143500,2060045700,2060045500,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,
379,27799,2060142500,2060045100,2060046000,0,0,107,000,-,»óÅ¾1±æ,0,000,0,0,0,0,
380,27815,2060051900,2060016800,2060017200,0,0,107,000,-,Çª¸¥»ù±æ,0,000,0,0,0,0,
381,27816,2060050500,2060016300,2060016800,0,0,107,000,-,¹ßÀÌºÀ4±æ,0,000,0,0,0,0,
382,27817,2060045700,2060014900,2060015900,0,0,107,000,-,¹ßÀÌºÀ±æ,0,000,0,0,0,0,
383,27818,2060050700,2060016400,2060016700,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
384,27819,2060051700,2060017900,2060016700,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
385,27820,2060049300,2060016000,2060016400,0,0,107,000,-,¼ö³»°í±æ,0,000,0,0,0,0,
