,OBJECTID,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,ID½Å±ÔºÎ¿©,latitude,longitude
284,38201,2060013500,101,ºÒÁ¤±³»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.359935463976456,127.10807807438437
285,38202,2060013700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35994246429914,127.10983016773605
286,38203,2060012900,101,±Ý°î»ç°Å¸®,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35666765147795,127.10849163661271
287,38204,2060012200,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.3534111515512,127.10601710528442
288,38205,2060012400,101,Ã»¼Ö¸¶À»»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35350346425952,127.10882954337546
289,38206,2060011700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35108921358744,127.11522688681862
290,38207,2060011100,101,-,0,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35007058929642,127.10632163730725
291,38208,2060010100,101,¹Ì±Ý»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.345880308018195,127.1089043552771
292,38209,2060008400,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.343594901414576,127.10890132456188
293,38210,2060007500,101,µ¿¸·±³»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.342626838806666,127.10890782396211
294,38211,2060006900,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.340725276335036,127.1089450433036
295,38212,2060006500,101,¿À¸®¿ª»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.339714026484614,127.10897357429508
296,38213,2060005500,101,¿À¸®»ï°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.338098370177306,127.10898698048857
297,38214,2060005700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.33812458901173,127.11308463699368
298,38215,2060005600,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.33810833916198,127.11173869905417
299,38216,2060024300,101,³»Á¤»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.37158933928504,127.11651488683583
300,38217,2060019600,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.36847243302299,127.12077848084584
301,38218,2060015700,101,-,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.36347393283569,127.11899482398883
302,38219,2060013000,101,ºÒÁ¤»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.35922433857161,127.11901126179691
303,38220,2060012000,101,µ¹¸¶±³»ç°Å¸®,1,º¸¿Ï,sn_si-kg,5,999,,,00000,206,,37.353239932327995,127.11711035583039
304,38221,2060013100,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.3594603071823,127.12232110590912
305,38222,2060025400,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.372581182665385,127.1154196367105
306,38223,2060025900,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.373480151261106,127.11442691828984
307,38224,2060017600,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.365632463986685,127.10805101198582
308,38225,2060018500,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.36667286985727,127.10803857436224
309,38226,2060013800,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.359955557528565,127.11329710542043
310,38227,2060013900,101,-,0,,sn_si-kg,5,999,,,00000,206,,37.35997105734373,127.11176019914592
311,38228,2060000300,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.34664702591357,127.10161554358388
312,38229,2060011300,101,±Ý°îIC,0,,sn_si-kg,5,999,,,00000,206,,37.350079651764474,127.1029082623437
313,38230,2060011400,101,-,1,,sn_si-kg,5,999,,,00000,206,,37.35008399548991,127.1120102304551
