,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
62,2060108400,2060034800,2060034400,0,0.0,107,»õµ¿¾È±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060034800,OEXT2060034400,77.9456263887
63,2060111400,2060036300,2060035300,0,0.0,107,ºÐ´ç·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060036300,OEXT2060035300,211.935624078
64,2060087400,2060031600,2060027500,0,0.0,107,¼ö³»·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060031600,OEXT2060027500,600.74227924
65,2060108600,2060035300,2060034400,0,0.0,107,ºÐ´ç·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060035300,OEXT2060034400,131.054363382
66,2060103200,2060033200,2060032400,0,0.0,107,¼ö³»·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060033200,OEXT2060032400,127.288576005
67,2060103000,2060032700,2060032300,0,0.0,107,ÃÊ¸²±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060032700,OEXT2060032300,81.6762529825
68,2060106600,2060034400,2060033800,0,0.0,107,ºÐ´ç·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060034400,OEXT2060033800,131.610395145
69,2060120800,2060038800,2060038100,0,0.0,107,¾çÇö±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038800,OEXT2060038100,121.980619556
70,2060109800,2060034800,2060035400,0,0.0,107,»õµ¿¾È±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060034800,OEXT2060035400,63.4627719986
71,2060100400,2060032300,2060031400,0,0.0,107,¸¶·çµé±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060032300,OEXT2060031400,182.593856604
72,2060102000,2060032300,2060032000,0,0.0,107,ÃÊ¸²±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060032300,OEXT2060032000,46.6576624248
73,2060113000,2060036100,2060035700,1,0.0,107,»õµ¿¾È1±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060036100,OEXT2060035700,91.2926428253
74,2060122000,2060038700,2060038400,0,0.0,107,È²»õ¿ï2±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038700,OEXT2060038400,87.863317906
75,2060119800,2060038400,2060037700,0,0.0,107,-,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038400,OEXT2060037700,99.1197866192
76,2060121000,2060038700,2060038200,0,0.0,107,È²»õ¿ï±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060038700,OEXT2060038200,96.9707265272
77,2060118200,2060037700,2060037300,0,0.0,107,È²»õ¿ï3±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060037700,OEXT2060037300,74.4298463658
78,2060154400,2060048900,2060049600,0,0.0,107,¹ø¿µ·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060048900,OEXT2060049600,163.430402347
79,2060163400,2060051800,2060051700,0,0.0,107,¾ßÅ¾°ø¿ø±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060051800,OEXT2060051700,112.309352593
80,2060170400,2060053900,2060054200,0,0.0,107,Àå¹Ì·Î,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060053900,OEXT2060054200,221.717208848
81,2060157800,2060051000,2060050000,0,0.0,107,¹éÈ­Á¡±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060051000,OEXT2060050000,164.709001609
82,2060157600,2060051000,2060049900,0,0.0,107,¹éÈ­Á¡±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060051000,OEXT2060049900,228.842582681
83,2060133800,2060042500,2060042900,0,0.0,107,¹æ¾Æ´Ù¸®±æ,0,000,0.0,0,0.0,0.0,,sn_si-kg,5,00000,206,000,-,,,OEXT2060042500,OEXT2060042900,56.5876938272
