,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
51,2060165800,2060052300,2060054500,0,0,107,000,-,ÅÍ¹Ì³Î±æ,0,000,0,0,0,0,,5,,,OEXT2060052300,OEXT2060054500,OEXT2060165800,,sn_si-kg,206,00000,,0.00149318154313
52,2060165200,2060052200,2060052500,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060052200,OEXT2060052500,OEXT2060165200,,sn_si-kg,206,00000,,0.000847506466809
53,2060160800,2060050900,2060050800,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060050900,OEXT2060050800,OEXT2060160800,,sn_si-kg,206,00000,,0.000837115004713
54,2060166200,2060052500,2060053600,0,0,107,000,-,¾ßÅ¾±æ,0,000,0,0,0,0,,5,,,OEXT2060052500,OEXT2060053600,OEXT2060166200,,sn_si-kg,206,00000,,0.00175145338232
55,2060158200,2060050100,2060050900,0,0,107,000,-,¾ßÅ¾±æ,0,000,0,0,0,0,,5,,,OEXT2060050100,OEXT2060050900,OEXT2060158200,,sn_si-kg,206,00000,,0.00173797573017
56,2060084300,2060026400,2060029400,0,0,107,000,-,¼ö³»1±æ,0,000,0,0,0,0,,5,,,OEXT2060026400,OEXT2060029400,OEXT2060084300,,sn_si-kg,206,00000,,0.00497179972171
57,2060124000,2060002801,2060039300,0,0,105,001,57,-,0,106,0,0,0,0,,5,,,OEXT2060002801,OEXT2060039300,OEXT2060124000,,sn_si-kg,206,00000,,0.00232609277717
58,2060124300,2060039300,2060040700,0,0,107,000,-,-,0,105,0,0,0,0,,5,,,OEXT2060039300,OEXT2060040700,OEXT2060124300,,sn_si-kg,206,00000,,0.00434849972878
59,2060001602,2060001702,2060001701,0,0,105,001,23,Áö¹æµµ23È£¼±,0,000,0,0,0,0,,5,,,OEXT2060001702,OEXT2060001701,OEXT2060001602,,sn_si-kg,206,00000,,0.00207547026877
60,2060067700,2060001702,2060021500,0,0,107,000,-,±Ã³»±æ,0,000,0,0,0,0,,5,,,OEXT2060001702,OEXT2060021500,OEXT2060067700,,sn_si-kg,206,00000,,0.0025520276781
