,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
22,2060363701,2060110501,2060110401,2,107,000,-,-,0,0,000,60,0,0.0,0,171.111440295499,µµ·Î¸í¾øÀ½
23,2060363801,2060110401,2060110501,2,107,000,-,-,0,0,000,60,0,0.0,0,171.074910492451,µµ·Î¸í¾øÀ½
24,2060363901,2060110601,2060110401,2,107,000,-,-,0,0,000,40,0,0.0,0,129.654770177917,µµ·Î¸í¾øÀ½
25,2060364001,2060110401,2060110601,2,107,000,-,-,0,0,000,40,0,0.0,0,137.716679157091,µµ·Î¸í¾øÀ½
26,2060364701,2060062600,2060110901,2,107,000,-,-,0,0,000,40,0,0.0,0,103.6441081379,µµ·Î¸í¾øÀ½
27,2060364801,2060110901,2060062600,2,107,000,-,-,0,0,000,40,0,0.0,0,106.123602898484,µµ·Î¸í¾øÀ½
28,2060364501,2060110901,2060110801,2,107,000,-,-,0,0,000,40,0,0.0,0,70.345797671218,µµ·Î¸í¾øÀ½
29,2060364601,2060110801,2060110901,2,107,000,-,-,0,0,000,40,0,0.0,0,72.003906144042,µµ·Î¸í¾øÀ½
30,2060364401,2060110801,2060110701,2,107,004,-,-,0,0,000,40,0,0.0,0,855.399820921935,µµ·Î¸í¾øÀ½
31,2060364301,2060110701,2060110801,2,107,004,-,-,0,0,000,40,0,0.0,0,853.424739898139,µµ·Î¸í¾øÀ½
32,2060364101,2060110701,2060110601,2,107,000,-,-,0,0,000,40,0,0.0,0,100.245324080478,µµ·Î¸í¾øÀ½
33,2060364201,2060110601,2060110701,2,107,000,-,-,0,0,000,40,0,0.0,0,105.650366776458,µµ·Î¸í¾øÀ½
34,2060361301,2060109701,2060109801,2,107,000,-,¹éÇö·Î101¹ø±æ,0,0,000,50,0,0.0,0,77.642459791663,
35,2060361401,2060109801,2060109701,2,107,000,-,¹éÇö·Î101¹ø±æ,0,0,000,50,0,0.0,0,77.653458199313,
36,2060361501,2060029000,2060109801,2,107,000,-,È²»õ¿ï·Î200¹ø±æ,0,0,000,50,0,0.0,0,48.13814755472,
37,2060361601,2060109801,2060029000,2,107,000,-,È²»õ¿ï·Î200¹ø±æ,0,0,000,50,0,0.0,0,48.588273405216,
38,2060361701,2060109801,2060029200,2,107,000,-,È²»õ¿ï·Î200¹ø±æ,0,0,000,50,0,0.0,0,202.627297767367,
39,2060361801,2060029200,2060109801,2,107,000,-,È²»õ¿ï·Î200¹ø±æ,0,0,000,50,0,0.0,0,180.906857852118,
40,2060026000,2060009000,2060009500,1,107,000,-,±Ý°î·Î7¹ø±æ,0,0,000,40,0,0.0,0,120.1296,
41,2060026100,2060009500,2060009000,1,107,000,-,±Ý°î·Î7¹ø±æ,0,0,000,40,0,0.0,0,120.1261,
42,2060026200,2060009100,2060009200,1,107,000,-,±¸¹Ì·Î185¹ø±æ,0,0,000,50,0,0.0,0,263.9247,
43,2060026300,2060009200,2060009100,1,107,000,-,±¸¹Ì·Î185¹ø±æ,0,0,000,50,0,0.0,0,239.788,
44,2060026600,2060010900,2060009200,2,107,000,-,±¸¹Ì·Î173¹ø±æ,0,0,000,50,0,0.0,0,519.75,
45,2060026700,2060009200,2060010900,2,107,000,-,±¸¹Ì·Î173¹ø±æ,0,0,000,50,0,0.0,0,517.4692,
46,2060026800,2060009400,2060009300,1,107,000,-,±Ý°î·Î23¹ø±æ,0,0,000,40,0,0.0,0,115.9014,
47,2060028100,2060009700,2060009800,1,107,000,-,±Ý°î·Î25¹ø±æ,0,0,000,40,0,0.0,0,31.5033,
48,2060028200,2060010000,2060009800,1,107,000,-,±Ý°î·Î25¹ø±æ,0,0,000,40,0,0.0,0,48.6428,
49,2060028300,2060009800,2060010000,1,107,000,-,±Ý°î·Î25¹ø±æ,0,0,000,40,0,0.0,0,48.6151,
50,2060028400,2060010000,2060009900,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,191.0409,
51,2060028500,2060009900,2060010000,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,191.5036,
52,2060028600,2060009900,2060010100,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,83.8289,
53,2060028700,2060010100,2060009900,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,83.829,
54,2060028801,2060009900,2060009901,1,107,000,-,¹Ì±ÝÀÏ·Î90¹ø±æ,0,0,000,40,0,0.0,0,126.509,
55,2060028803,2060009901,2060009902,1,107,000,-,¹Ì±ÝÀÏ·Î90¹ø±æ,0,0,000,40,0,0.0,0,122.0858,
56,2060028804,2060009902,2060010500,1,107,000,-,¹Ì±ÝÀÏ·Î90¹ø±æ,0,0,000,40,0,0.0,0,70.6965,
57,2060028902,2060009901,2060009900,1,107,000,-,¹Ì±ÝÀÏ·Î90¹ø±æ,0,0,000,40,0,0.0,0,119.8603,
58,2060028903,2060010500,2060009902,1,107,000,-,¹Ì±ÝÀÏ·Î90¹ø±æ,0,0,000,40,0,0.0,0,70.8434,
59,2060028904,2060009902,2060009901,1,107,000,-,¹Ì±ÝÀÏ·Î90¹ø±æ,0,0,000,40,0,0.0,0,122.0532,
60,2060029000,2060010300,2060010000,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,369.6689,
61,2060029100,2060010000,2060010300,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,369.2535,
62,2060029202,2060010001,2060010000,1,107,000,-,¹Ì±ÝÀÏ·Î70¹ø±æ,0,0,000,30,0,0.0,0,121.5305,
63,2060029203,2060010600,2060010002,1,107,000,-,¹Ì±ÝÀÏ·Î70¹ø±æ,0,0,000,30,0,0.0,0,72.1742,
64,2060029204,2060010002,2060010001,1,107,000,-,¹Ì±ÝÀÏ·Î70¹ø±æ,0,0,000,30,0,0.0,0,121.1439,
65,2060029301,2060010000,2060010001,1,107,000,-,¹Ì±ÝÀÏ·Î70¹ø±æ,0,0,000,30,0,0.0,0,121.5308,
66,2060029303,2060010001,2060010002,1,107,000,-,¹Ì±ÝÀÏ·Î70¹ø±æ,0,0,000,30,0,0.0,0,121.1439,
67,2060029304,2060010002,2060010600,1,107,000,-,¹Ì±ÝÀÏ·Î70¹ø±æ,0,0,000,30,0,0.0,0,72.174,
68,2060029400,2060010100,2060010400,4,107,000,-,¼º³²´ë·Î,0,0,000,70,0,0.0,0,312.8697,
69,2060029500,2060010400,2060010100,4,107,000,-,¼º³²´ë·Î,0,0,000,70,0,0.0,0,312.8627,
70,2060029600,2060010100,2060010700,1,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,40,0,0.0,0,453.581,
71,2060031602,2060010701,2060011100,1,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,40,0,0.0,0,65.1879,
72,2060031701,2060011100,2060010701,1,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,40,0,0.0,0,64.7301,
73,2060029700,2060010700,2060010100,1,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,40,0,0.0,0,467.4654,
74,2060029800,2060010200,2060010300,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,347.9633,
75,2060029900,2060010300,2060010200,2,107,000,-,¹Ì±ÝÀÏ·Î,0,0,000,50,0,0.0,0,347.9638,
76,2060030000,2060011500,2060010200,2,107,000,-,±Ý°î·Î,0,0,000,50,0,0.0,0,457.0971,
77,2060030100,2060010200,2060011500,2,107,000,-,±Ý°î·Î,0,0,000,50,0,0.0,0,460.9064,
78,2060030200,2060011700,2060010300,3,107,000,-,¹Ì±Ý·Î,0,0,000,50,0,0.0,0,525.4124,
79,2060030300,2060010300,2060011700,3,107,000,-,¹Ì±Ý·Î,0,0,000,50,0,0.0,0,537.239,
80,2060030400,2060010400,2060010500,1,107,000,-,¼º³²´ë·Î144¹ø±æ,0,0,000,40,0,0.0,0,91.716,
