,OBJECTID,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,Shape_len
1481,218754,2060007500,2060003700,2060003600,0,0,105,000,23,´ë¿ÕÆÇ±³·Î,0,000,0,0,0,0,,5,,,OEXT2060003700,OEXT2060003600,OEXT2060007500,,sn_si-kg,206,00000,,0.00128798065364
1482,218755,2060002300,2060001100,2060001000,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060001100,OEXT2060001000,OEXT2060002300,,sn_si-kg,206,00000,,0.000187452443116
1483,218756,2060001300,2060000700,2060000600,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000700,OEXT2060000600,OEXT2060001300,,sn_si-kg,206,00000,,0.006836368164
1484,218757,2060000900,2060000600,2060000500,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000600,OEXT2060000500,OEXT2060000900,,sn_si-kg,206,00000,,0.00391138468265
1485,218758,2060001900,2060000900,2060000800,0,0,105,000,57,¼­Çö·Î,0,000,0,0,0,0,,5,,,OEXT2060000900,OEXT2060000800,OEXT2060001900,,sn_si-kg,206,00000,,0.00147020408885
1486,218759,2060019400,2060007500,2060006900,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,,5,,,OEXT2060007500,OEXT2060006900,OEXT2060019400,,sn_si-kg,206,00000,,0.00190245209066
1487,218760,2060014600,2060006500,2060005500,0,0,107,000,-,¼º³²´ë·Î,0,000,0,0,0,0,,5,,,OEXT2060006500,OEXT2060005500,OEXT2060014600,,sn_si-kg,206,00000,,0.00161469465919
1488,218761,2060014800,2060005700,2060005600,0,0,107,003,-,±¸¹Ì·Î,0,000,0,0,0,0,,5,,,OEXT2060005700,OEXT2060005600,OEXT2060014800,,sn_si-kg,206,00000,,0.00134673406354
1489,218762,2060014200,2060005600,2060005400,0,0,107,000,-,±¸¹Ì·Î,0,000,0,0,0,0,,5,,,OEXT2060005600,OEXT2060005400,OEXT2060014200,,sn_si-kg,206,00000,,0.0014257026632
1490,218763,2060048400,2060019600,2060015700,0,0,107,000,-,µ¹¸¶·Î,0,000,0,0,0,0,,5,,,OEXT2060019600,OEXT2060015700,OEXT2060048400,,sn_si-kg,206,00000,,0.0058620368493
1491,218764,2060046600,2060015200,2060015400,0,0,107,000,-,Á¤ÀÚ·Î,0,000,0,0,0,0,,5,,,OEXT2060015200,OEXT2060015400,OEXT2060046600,,sn_si-kg,206,00000,,0.0014773145987
1492,218765,2060013600,2060005600,2060005300,0,0,107,000,-,ÅºÃµ»ó·Î,0,000,0,0,0,0,,5,,,OEXT2060005600,OEXT2060005300,OEXT2060013600,,sn_si-kg,206,00000,,0.000681093566295
1493,218766,2060028200,2060010000,2060009800,0,0,107,000,-,È­ÇÕ±æ,0,000,0,0,0,0,,5,,,OEXT2060010000,OEXT2060009800,OEXT2060028200,,sn_si-kg,206,00000,,0.000438289553546
1494,218767,2060035000,2060011900,2060011800,0,0,107,000,-,±Ý°î¿­¸°±æ,0,000,0,0,0,0,,5,,,OEXT2060011900,OEXT2060011800,OEXT2060035000,,sn_si-kg,206,00000,,0.00259042608747
1495,218768,2060028400,2060010000,2060009900,0,0,107,000,-,¹é±Ã·Î,0,000,0,0,0,0,,5,,,OEXT2060010000,OEXT2060009900,OEXT2060028400,,sn_si-kg,206,00000,,0.00215599742562
1496,218769,2060022400,2060008100,2060007800,0,0,107,003,-,-,0,000,0,0,0,0,,5,,,OEXT2060008100,OEXT2060007800,OEXT2060022400,,sn_si-kg,206,00000,,0.000794902881315
1497,218770,2060022200,2060007700,2060007800,0,0,107,000,-,ÅºÃµ»ó·Î,0,000,0,0,0,0,,5,,,OEXT2060007700,OEXT2060007800,OEXT2060022200,,sn_si-kg,206,00000,,0.00147035911048
1498,218771,2060087000,2060028100,2060027400,0,0,107,000,-,¸Ô°Å¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060028100,OEXT2060027400,OEXT2060087000,,sn_si-kg,206,00000,,0.00178874804433
1499,218772,2060060400,2060021400,2060019500,0,0,107,000,-,ºÐ´çÀåÅÍ±æ,0,000,0,0,0,0,,5,,,OEXT2060021400,OEXT2060019500,OEXT2060060400,,sn_si-kg,206,00000,,0.00143916808263
1500,218773,2060078800,2060026500,2060001000,0,0,107,000,-,¹®Á¤±æ,0,000,0,0,0,0,,5,,,OEXT2060026500,OEXT2060001000,OEXT2060078800,,sn_si-kg,206,00000,,0.00460184088336
1501,218774,2060090400,2060028800,2060028500,0,0,107,000,-,¸Ô°Å¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060028800,OEXT2060028500,OEXT2060090400,,sn_si-kg,206,00000,,0.000837391335037
1502,218775,2060086400,2060027100,2060027300,0,0,107,000,-,º¸¸®ÅÍ1±æ,0,000,0,0,0,0,,5,,,OEXT2060027100,OEXT2060027300,OEXT2060086400,,sn_si-kg,206,00000,,0.000958890535405
1503,218776,2060087200,2060028400,2060027400,0,0,107,000,-,È¿Çà2±æ,0,000,0,0,0,0,,5,,,OEXT2060028400,OEXT2060027400,OEXT2060087200,,sn_si-kg,206,00000,,0.00166777475133
1504,218777,2060084600,2060026900,2060026600,0,0,107,000,-,¸Ô°Å¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060026900,OEXT2060026600,OEXT2060084600,,sn_si-kg,206,00000,,0.00124837334808
1505,218778,2060064200,2060021100,2060020500,0,0,107,000,-,Àå¾È±æ,0,000,0,0,0,0,,5,,,OEXT2060021100,OEXT2060020500,OEXT2060064200,,sn_si-kg,206,00000,,0.000982309477194
1506,218779,2060064400,2060020600,2060020700,0,0,107,000,-,¼­Çö½Ã¹ü±æ,0,000,0,0,0,0,,5,,,OEXT2060020600,OEXT2060020700,OEXT2060064400,,sn_si-kg,206,00000,,0.00121262776305
1507,218780,2060067500,2060022600,2060021400,0,0,107,000,-,ºÐ´çÀåÅÍ±æ,0,000,0,0,0,0,,5,,,OEXT2060022600,OEXT2060021400,OEXT2060067500,,sn_si-kg,206,00000,,0.000622574409466
1508,218781,2060060200,2060019500,2060020600,0,0,107,000,-,ÅÂÇö±æ,0,000,0,0,0,0,,5,,,OEXT2060019500,OEXT2060020600,OEXT2060060200,,sn_si-kg,206,00000,,0.000926845156423
1509,218782,2060060000,2060020700,2060019400,0,0,107,000,-,ºÒ°î»ê±æ,0,000,0,0,0,0,,5,,,OEXT2060020700,OEXT2060019400,OEXT2060060000,,sn_si-kg,206,00000,,0.000951639393853
1510,218783,2060059800,2060019400,2060020500,0,0,107,000,-,ºÐ´çÀåÅÍ±æ,0,000,0,0,0,0,,5,,,OEXT2060019400,OEXT2060020500,OEXT2060059800,,sn_si-kg,206,00000,,0.000952638929027
1511,218784,2060054000,2060017700,2060018000,0,0,107,000,-,¼±ÁöºÀ±æ,0,000,0,0,0,0,,5,,,OEXT2060017700,OEXT2060018000,OEXT2060054000,,sn_si-kg,206,00000,,0.00182886129338
